,DPEQ.SG1AG01,DPEQ.SG1AG02,DPEQ.SG1AG03,DPEQ.SG1AG04,DPEQ.SG1AG05,DPEQ.SG1AG06,DPEQ.SG1AG07,DPEQ.SG1AG08,DPEQ.SG1AG09,DPEQ.SG1AG10,DPEQ.SG1AG11,DPEQ.SG1AG12,DPEQ.SG1AG13,DPEQ.SG1AG14,DPEQ.SG1AG15,DPEQ.SG1AG16,DPEQ.SG1AG17,DPEQ.SG1AG85,DPEQ.SG1BG01,DPEQ.SG1BG02,DPEQ.SG1BG03,DPEQ.SG1BG04,DPEQ.SG1BG05,DPEQ.SG1BG06,DPEQ.SG1BG07,DPEQ.SG1BG08,DPEQ.SG1BG09,DPEQ.SG1BG10,DPEQ.SG1BG11,DPEQ.SG1BG12,DPEQ.SG1BG13,DPEQ.SG1BG14,DPEQ.SG1BG15,DPEQ.SG1BG16,DPEQ.SG1BG17,DPEQ.SG1BG85,
Mar-2001,144280,153400,152990,140780,127890,126300,139730,149410,144350,128470,121500,93380,78280,63950,57350,41530,23210,14700,137080,143590,146280,135490,127580,134410,152020,158770,150840,132010,122660,94670,80900,66880,63340,54670,38950,34600,
Jun-2001,143960,152670,153770,141480,128030,124600,139580,148580,145010,128930,122010,93970,79230,63810,57460,41850,23410,14900,137040,142800,146980,136140,127600,132640,152070,158100,151870,132760,123090,95290,81740,67120,63310,54710,39110,34900,
Sep-2001,143730,152260,154800,142710,129140,123780,139740,148480,145960,129870,122250,95270,80210,63920,57510,42120,23680,14800,137120,142550,148020,137340,128590,131800,152380,158010,153280,133800,123380,96420,82860,67270,63340,54660,39280,35000,
Dec-2001,143810,152000,155930,143500,130200,124440,140180,148700,146920,130940,122220,97040,81320,64170,57550,42500,24020,15100,137260,142710,148860,138090,129870,132020,153100,158250,154580,134840,123460,98260,83830,67650,63290,54720,39600,35300,
Mar-2002,144030,151320,157300,145350,131890,123750,140940,148310,148280,131750,122250,98490,82220,64350,57520,42850,24440,15200,137500,142450,150000,139690,131160,131280,153530,158410,155900,135810,123450,99830,84790,68000,63100,54770,39990,35700,
Jun-2002,143870,151470,157570,146290,133060,123040,141050,147670,149490,132600,122360,99710,83040,64550,57580,43070,24690,15300,137260,142930,150470,140470,131980,130060,154020,158000,157460,136720,123710,101000,85650,68240,63230,54580,40340,35900,
Sep-2002,143790,151320,158540,147550,135010,122600,141460,147600,150550,133670,122690,101190,83820,64800,57620,43350,24950,15300,137260,143060,151010,142070,133380,129670,154440,158210,158740,138040,123990,102760,86360,68500,63240,54590,40670,35800,
Dec-2002,143870,151540,158990,147980,136720,123240,142140,147800,151820,134650,123140,103220,84210,65270,57630,43770,25290,15400,137390,143280,151580,142520,134960,130140,155340,158320,160140,139080,124610,104790,86780,68970,63370,54710,40980,35900,
Mar-2003,144150,151640,159850,149750,139590,123460,142540,147580,153020,135820,123110,105330,84270,65760,57500,44300,25770,15600,137530,143300,152210,144390,137100,129960,155930,158150,161690,140300,124790,106860,87080,69220,63280,54910,41390,36200,
Jun-2003,144220,151510,160540,150230,140370,123270,142450,147480,154050,136760,123220,107040,84630,66080,57320,44590,26180,15600,137630,143360,152750,145050,137990,129490,155780,158550,162970,141400,124950,108590,87290,69630,63120,55070,41580,36500,
Sep-2003,144340,151310,160970,151090,141800,123460,142390,147510,154820,138220,123470,108310,85500,66620,57160,44810,26420,15600,137900,143190,152990,146210,139110,129700,156180,158510,164070,142840,125580,109990,88010,70150,63110,55140,41710,36400,
Dec-2003,144830,150920,161120,151180,142580,124060,142560,147710,155340,139510,123780,109940,86210,67260,57160,45070,26750,15800,138480,142820,153080,146300,140110,130480,156320,158970,164780,144050,126090,111790,88610,70970,62930,55310,42050,36700,
Mar-2004,145360,150690,161500,152410,143840,124030,142390,147610,156050,140250,124310,111160,86910,67570,57230,45340,27140,16000,139110,142840,153270,147460,141210,130550,156190,159170,165630,145250,126720,112990,89190,71620,62890,55320,42550,36900,
Jun-2004,145460,150620,161640,152590,143910,123690,141820,147270,156410,141270,124770,112130,87800,67890,57270,45640,27470,16100,139200,142750,153410,147850,141200,130130,155560,159390,166110,146440,127490,113950,90040,71950,62940,55360,43010,37000,
Sep-2004,145630,150420,161500,153710,144190,124030,141200,147500,156720,142360,125280,113450,88270,68680,57300,45690,27990,16000,139140,142700,153400,148710,142070,130480,155000,159890,166570,147730,128170,115360,90470,72720,62940,55240,43530,36600,
Dec-2004,145570,150250,161060,153820,144780,124690,141100,147800,156930,143320,125800,114990,88620,69530,57440,45970,28300,16200,139060,142600,152930,149120,142760,131360,154970,160070,167220,148620,128880,116960,90980,73720,62850,55340,43620,37100,
Mar-2005,145610,149980,161210,154820,145310,124830,140570,147980,156830,144260,126210,116130,89320,70160,57380,46260,28600,16600,139060,142610,152710,150110,143310,131360,154420,160580,167040,149740,129480,118290,91700,74520,62690,55460,43630,37800,
Jun-2005,145370,149890,161070,155260,145080,124740,139790,147590,156800,145320,126770,116700,89970,71230,57300,46440,28810,17100,138950,142510,152460,150830,143300,131130,153720,160650,167060,150870,130080,119090,92510,75510,62530,55500,43590,38400,
Sep-2005,145370,149690,160580,156570,145310,125010,138970,147670,156690,146420,127510,117470,90360,72510,57210,46860,29020,17300,138960,142480,152090,151990,143920,131420,152780,161270,167110,152180,130970,119960,92990,76910,62450,55660,43530,38800,
Dec-2005,145760,149560,160050,157110,145770,126020,138300,148330,156600,147530,128070,118730,90760,73720,57210,47170,29350,17700,139130,142500,151590,152460,144600,132750,151840,161900,167070,153670,131650,121310,93470,78120,62460,55950,43550,39300,
Mar-2006,145880,149400,159930,158590,146120,126850,137330,148830,156470,148360,128970,119510,91320,74640,57300,47450,29770,18000,139400,142620,151370,153540,145370,133570,150860,162800,166870,154780,132780,122270,94040,78950,62530,56060,43860,39700,
Jun-2006,146210,149230,159520,159400,145850,126770,136320,149140,155940,149120,129930,120080,91900,75620,57380,47570,30180,18200,139790,142650,150920,154160,145330,133600,149700,163430,166540,156040,133720,122930,94760,79910,62790,56030,44000,40000,
Sep-2006,146960,149290,158910,160080,145580,127290,135350,149610,155520,149900,130860,120260,93120,76550,57610,47770,30280,18300,140190,142730,150460,155040,145380,134130,148720,164070,166310,157270,134720,123260,95920,81000,62930,56070,43930,40100,
Dec-2006,147810,149330,158270,160040,145630,128420,134940,149830,155490,150480,131880,120230,94730,77590,57850,47840,30660,18600,140970,142830,150140,155090,145680,135290,147850,164660,166170,158360,135790,123190,97690,81870,63280,56060,44020,40600,
Mar-2007,149080,149410,157210,160830,145450,129020,133830,150270,154810,151510,132370,120150,96090,78500,58030,47880,31020,19000,141930,142880,149500,155930,145500,135630,146940,164950,165740,159440,136630,123030,99160,82780,63650,55900,44220,41100,
Jun-2007,150200,149210,157000,160300,144650,128980,132850,150200,153850,152530,132970,120230,97250,79310,58230,48010,31310,19300,142900,142570,149380,155970,144540,135470,145660,165110,165100,160720,137370,123180,100300,83620,63850,56050,44150,41400,
Sep-2007,151350,149140,156490,160880,144540,129710,131660,150270,153450,153320,133680,120540,98750,79970,58490,48060,31560,19500,143850,142450,149040,156510,144690,135940,144610,165310,164750,161670,138550,123340,101940,84230,64110,56040,44220,41600,
Dec-2007,152360,149060,156180,160260,144610,130890,131110,150210,153060,154060,134330,120880,100690,80280,59010,48100,31910,19800,144900,142340,148680,156280,144620,137120,143850,165530,164180,162670,139440,123780,103980,84510,64640,56210,44290,41900,
Mar-2008,153240,149140,155820,160520,144830,131520,130560,149900,152350,154790,135130,120730,102670,80320,59550,47990,32290,20200,146140,142120,148250,156480,144790,137660,142990,165370,163410,163970,140250,123910,106010,84790,64860,56130,44530,42400,
Jun-2008,154290,148990,155530,160500,144390,131140,129840,149370,151770,155460,135790,120640,104250,80610,59950,47910,32460,20500,146740,141960,148020,156530,144350,137430,142060,164810,163300,164900,141130,123900,107630,84980,65270,56030,44640,42600,
Sep-2008,155270,148940,155230,160750,144950,131530,129340,148760,151380,155870,136840,120830,105370,81430,60490,47730,32680,20700,147570,141930,147630,157000,144690,137780,141380,164650,162950,165700,142200,124470,108810,85620,65720,56050,44690,42600,
Dec-2008,156140,149070,154760,160210,145130,132600,128920,148340,151190,156080,137850,121150,106880,82080,61070,47760,32970,21000,148210,142300,146930,156670,144910,138610,141200,164110,163040,166040,143210,124920,110470,86240,66480,55900,44750,43100,
Mar-2009,157120,149320,154610,160490,146260,133320,128680,147930,151010,156490,138440,121640,108080,82810,61400,47880,33280,21500,148780,142700,146810,156810,145570,139040,140890,163600,162910,166610,144160,125520,111670,86810,67110,55890,44840,43600,
Jun-2009,157790,149410,154880,160290,146620,133210,128470,147380,150640,156820,139360,122030,109120,83710,61680,47930,33530,21800,149420,142670,146990,156720,145730,139000,140450,163110,163090,166830,145240,126280,112710,87610,67440,55920,44890,43800,
Sep-2009,158700,149550,155050,160640,148090,133660,128460,146560,150690,157060,140200,122520,110400,84180,62410,48070,33620,22100,150430,142420,147030,157120,146790,139760,140320,162470,163350,167220,146380,126860,114090,88030,68190,55940,44840,44100,
Dec-2009,159750,149340,155220,160280,149060,134950,128370,146030,150850,157140,141060,123030,111880,84520,63170,48310,33860,22300,151510,142180,147020,156620,147930,140890,140290,161980,163410,167790,147290,127630,115500,88520,69130,55860,45010,44400,
Mar-2010,160530,149230,155320,161030,150320,135230,128180,145420,150890,156910,141880,123480,112990,85190,63770,48390,34110,22800,152360,142190,147300,156770,149000,141190,140150,161290,163820,167540,148460,128220,116740,89240,69890,55760,45100,45000,
Jun-2010,161370,148790,155590,160860,150440,134490,127860,144520,150360,156600,142810,123940,113630,85880,64810,48400,34240,23100,152980,142000,147410,156270,149320,140550,139890,160420,163980,167320,149500,128780,117520,90080,70740,55620,45190,45400,
Sep-2010,161960,148680,155660,161050,152060,134640,127920,143440,150310,156330,143810,124590,114430,86360,65940,48390,34570,23300,153780,141880,147410,156290,150630,140780,139860,159230,164440,167230,150670,129690,118350,90610,72060,55500,45330,45500,
Dec-2010,162560,148600,155570,160500,153130,135290,128240,142300,150640,155990,144770,125120,115660,86720,67070,48380,34870,23800,154280,141740,147360,155330,151650,141370,140370,157570,164860,166920,152010,130300,119770,91090,73170,55590,45560,45800,
Mar-2011,163050,148380,155400,160710,154410,134910,128470,140980,150700,155630,145220,125870,116530,87350,67880,48500,35140,24100,154520,141820,147460,155040,152690,141280,140460,156110,165470,166460,152840,131370,120680,91590,73900,55650,45730,46200,
Jun-2011,163020,148500,155210,160330,154490,134090,128120,139650,150700,154850,145790,126520,117170,88050,68790,48530,35350,24400,154440,142060,147470,154220,152740,140800,140000,154710,165930,165720,153890,132270,121240,92280,74730,55800,45730,46400,
Sep-2011,163170,148750,154830,160500,155590,134120,128080,138350,150900,154120,146500,127380,117390,89250,69630,48720,35550,24600,154660,142040,147220,154160,153790,140960,140060,153110,166380,165160,155000,133340,121550,93410,75870,55870,45710,46400,
Dec-2011,163040,148970,154450,159920,156120,134730,128070,137390,150830,153860,146990,128280,117400,90830,70700,48960,35670,24900,154300,142190,146880,153540,154280,141420,140160,151780,166600,164920,155860,134380,121550,95080,76800,56250,45720,46600,
Mar-2012,162710,149800,154300,159700,157020,134690,128120,136060,151050,152890,147960,128780,117270,92190,71700,49160,35820,25400,154080,142830,146660,153110,154810,141180,140360,150610,166530,164410,156850,135240,121550,96590,77730,56570,45700,47000,
Jun-2012,162090,150520,153890,159840,156360,133950,128030,134990,150950,151930,148750,129380,117370,93450,72480,49340,35970,25700,153640,143580,146110,153000,154300,140570,140280,149150,166740,163590,158090,136040,121900,97740,78530,56910,45760,47100,
